0.0314159 0.517968 -0.0650785  2.38834 -0.0418452  0.506196 -0.0637019  0.344239 -0.0477799  -0.625855 -1.0641  0.50443 -0.100411  -0.622611 -1.07469  2.49737 -0.0988566  -0.302052 -0.126896  5.20099 -0.0504074  -0.301898 -0.126292  5.20602 -0.04748  
2.29336 0.124286 -0.199559  2.41122 -1.03631  0.120012 -0.19859  0.430887 -1.1142  -0.0057714 -0.255356  0.778138 -1.21175  -0.00646585 -0.257369  2.78723 -1.18068  -0.111296 -0.17868  5.23262 -1.20989  -0.109768 -0.178236  5.22618 -1.24541  
2.35619 0.121264 -0.197472  2.40758 -1.04017  0.116686 -0.196624  0.43365 -1.12409  -0.00564434 -0.251437  0.785584 -1.21375  -0.00623178 -0.253396  2.79334 -1.18262  -0.108915 -0.177775  5.23395 -1.21195  -0.10741 -0.177294  5.22787 -1.248  
2.41903 0.118393 -0.195472  2.40453 -1.04286  0.113521 -0.194691  0.43642 -1.1332  -0.00552793 -0.247681  0.792881 -1.21493  -0.00600408 -0.249563  2.79916 -1.18417  -0.106608 -0.17686  5.23504 -1.21343  -0.105123 -0.17635  5.22914 -1.24998  
2.48186 0.115656 -0.193556  2.40217 -1.04447  0.110507 -0.192792  0.439198 -1.14153  -0.00542014 -0.244077  0.800021 -1.21536  -0.00578298 -0.245863  2.8047 -1.18537  -0.104369 -0.175937  5.23589 -1.21441  -0.102903 -0.175407  5.22999 -1.2514  
2.54469 0.113038 -0.191723  2.40058 -1.04507  0.107634 -0.190929  0.441986 -1.14911  -0.00531924 -0.240613  0.806996 -1.21508  -0.00556869 -0.242286  2.80997 -1.18622  -0.102195 -0.175006  5.2365 -1.21491  -0.100747 -0.174465  5.23043 -1.2523  
2.60752 0.110527 -0.189971  2.39982 -1.04476  0.104893 -0.189101  0.444788 -1.15596  -0.00522376 -0.237278  0.813798 -1.21416  -0.00536143 -0.238828  2.81501 -1.18674  -0.100083 -0.17407  5.23687 -1.21499  -0.0986502 -0.173524  5.23046 -1.25271  
2.67035 0.108111 -0.188295  2.39991 -1.04361  0.102274 -0.18731  0.447607 -1.16212  -0.00513249 -0.234065  0.82042 -1.21263  -0.00516138 -0.235482  2.81982 -1.18694  -0.09803 -0.173128  5.23703 -1.21468  -0.096611 -0.172586  5.2301 -1.25266  
2.73319 0.10578 -0.18669  2.40088 -1.0417  0.0997705 -0.185554  0.450445 -1.16759  -0.00504442 -0.230963  0.826859 -1.21057  -0.00496867 -0.232241  2.82442 -1.18683  -0.0960324 -0.172182  5.23696 -1.21403  -0.0946263 -0.17165  5.22937 -1.25219  
2.79602 0.103526 -0.185153  2.40274 -1.03911  0.0973745 -0.183833  0.453308 -1.17241  -0.00495873 -0.227965  0.83311 -1.208  -0.00478339 -0.229101  2.82883 -1.18642  -0.0940881 -0.171231  5.2367 -1.21306  -0.0926938 -0.170715  5.22828 -1.25132  
2.85885 0.101341 -0.183677  2.40548 -1.03591  0.0950791 -0.182148  0.456198 -1.1766  -0.00487474 -0.225063  0.839172 -1.205  -0.00460559 -0.226057  2.83307 -1.18573  -0.0921949 -0.170277  5.23624 -1.2118  -0.0908113 -0.169782  5.22687 -1.25008  
2.92168 0.0992197 -0.182259  2.40907 -1.03217  0.0928778 -0.180497  0.459121 -1.18019  -0.00479194 -0.222252  0.845041 -1.2016  -0.00443525 -0.223103  2.83715 -1.18476  -0.0903506 -0.16932  5.2356 -1.21028  -0.0889771 -0.168851  5.22515 -1.2485  
2.98451 0.0971557 -0.180892  2.41348 -1.02796  0.0907646 -0.17888  0.462079 -1.18321  -0.00470991 -0.219525  0.850719 -1.19785  -0.00427234 -0.220236  2.84108 -1.18352  -0.0885535 -0.168359  5.2348 -1.20853  -0.0871893 -0.167921  5.22316 -1.24661  
3.04734 0.095145 -0.179572  2.41869 -1.02333  0.0887341 -0.177295  0.465076 -1.18569  -0.00462835 -0.216875  0.856205 -1.19379  -0.00411675 -0.217452  2.84488 -1.18202  -0.0868018 -0.167396  5.23384 -1.20657  -0.0854465 -0.166991  5.22092 -1.24442  
3.11018 0.0931836 -0.178294  2.42464 -1.01835  0.086781 -0.175743  0.468116 -1.18765  -0.00454705 -0.2143  0.861501 -1.18947  -0.00396836 -0.214746  2.84856 -1.18028  -0.0850941 -0.166431  5.23274 -1.20442  -0.0837471 -0.166062  5.21846 -1.24197  
3.17301 0.0912683 -0.177053  2.43128 -1.01307  0.0849005 -0.174222  0.471203 -1.18912  -0.00446584 -0.211793  0.866609 -1.18491  -0.003827 -0.212115  2.85212 -1.1783  -0.083429 -0.165464  5.23153 -1.20209  -0.0820899 -0.165133  5.21581 -1.23927  
3.23584 0.0893965 -0.175846  2.43857 -1.00753  0.0830883 -0.17273  0.474338 -1.19013  -0.00438465 -0.209351  0.871532 -1.18016  -0.00369248 -0.209555  2.85559 -1.1761  -0.0818051 -0.164496  5.2302 -1.1996  -0.0804736 -0.164203  5.213 -1.23635  
3.29867 0.0875659 -0.174667  2.44645 -1.00178  0.0813403 -0.171269  0.477526 -1.1907  -0.00430343 -0.206969  0.876273 -1.17525  -0.00356458 -0.207064  2.85897 -1.17369  -0.0802212 -0.163526  5.22877 -1.19697  -0.0788972 -0.163274  5.21005 -1.23323  
3.3615 0.0857747 -0.173514  2.45487 -0.995865  0.0796525 -0.169835  0.480767 -1.19087  -0.00422218 -0.204645  0.880836 -1.17021  -0.00344308 -0.204638  2.86226 -1.17107  -0.0786762 -0.162555  5.22726 -1.19421  -0.0773595 -0.162344  5.20699 -1.22991  
3.42434 0.0840214 -0.172383  2.46376 -0.989819  0.0780216 -0.168429  0.484064 -1.19065  -0.00414093 -0.202375  0.885226 -1.16506  -0.00332773 -0.202274  2.86547 -1.16826  -0.0771691 -0.161584  5.22568 -1.19132  -0.0758596 -0.161413  5.20384 -1.22644  
3.48717 0.0823048 -0.17127  2.47307 -0.983677  0.0764443 -0.167049  0.487419 -1.19008  -0.00405974 -0.200157  0.889447 -1.15984  -0.00321825 -0.19997  2.86861 -1.16527  -0.0756988 -0.160612  5.22404 -1.18833  -0.0743964 -0.160482  5.20063 -1.22281  
3.55 0.0806239 -0.170174  2.48275 -0.97747  0.0749175 -0.165694  0.490833 -1.18918  -0.00397868 -0.197987  0.893504 -1.15456  -0.0031144 -0.197722  2.87169 -1.16211  -0.0742644 -0.15964  5.22236 -1.18524  -0.0729692 -0.15955  5.19738 -1.21905  
3.61283 0.0789777 -0.169091  2.49275 -0.971227  0.0734385 -0.164364  0.494306 -1.18797  -0.00389785 -0.195864  0.897404 -1.14925  -0.00301589 -0.19553  2.8747 -1.15879  -0.072865 -0.158669  5.22064 -1.18206  -0.0715769 -0.158617  5.1941 -1.21517  
3.67566 0.0773658 -0.168019  2.50301 -0.964974  0.0720046 -0.163057  0.497839 -1.18647  -0.00381734 -0.193786  0.90115 -1.14392  -0.00292246 -0.193389  2.87766 -1.15532  -0.0714997 -0.157699  5.21889 -1.17879  -0.0702188 -0.157683  5.19082 -1.21119  
3.7385 0.0757874 -0.166957  2.51348 -0.958733  0.0706136 -0.161773  0.501431 -1.18471  -0.00373726 -0.191749  0.90475 -1.13858  -0.00283383 -0.191299  2.88056 -1.1517  -0.0701676 -0.156729  5.21713 -1.17545  -0.0688941 -0.156749  5.18756 -1.20711  
3.80133 0.0742421 -0.165902  2.52413 -0.952526  0.0692631 -0.16051  0.505084 -1.18271  -0.00365771 -0.189754  0.908208 -1.13327  -0.00274973 -0.189256  2.88341 -1.14796  -0.068868 -0.155761  5.21536 -1.17204  -0.0676019 -0.155814  5.18432 -1.20296  
3.86416 0.0727295 -0.164854  2.5349 -0.94637  0.0679512 -0.159269  0.508795 -1.18049  -0.00357879 -0.187797  0.91153 -1.12798  -0.00266991 -0.18726  2.88622 -1.14409  -0.0676001 -0.154794  5.21359 -1.16856  -0.0663414 -0.154879  5.18113 -1.19874  
3.92699 0.0712491 -0.16381  2.54576 -0.940282  0.066676 -0.158047  0.512564 -1.17807  -0.00350063 -0.185878  0.914723 -1.12272  -0.00259411 -0.185308  2.88897 -1.14011  -0.066363 -0.15383  5.21183 -1.16502  -0.065112 -0.153944  5.17799 -1.19447  
3.98982 0.0698008 -0.162771  2.55667 -0.934276  0.0654356 -0.156845  0.516389 -1.17547  -0.00342331 -0.183995  0.917791 -1.11751  -0.00252207 -0.183399  2.89168 -1.13603  -0.0651561 -0.152868  5.21008 -1.16142  -0.0639128 -0.15301  5.17492 -1.19015  
4.05265 0.0683841 -0.161735  2.56759 -0.928365  0.0642286 -0.155662  0.52027 -1.1727  -0.00334693 -0.182147  0.920742 -1.11236  -0.00245357 -0.181531  2.89434 -1.13185  -0.0639785 -0.151909  5.20836 -1.15777  -0.0627432 -0.152076  5.17192 -1.18579  
4.11549 0.0669988 -0.160702  2.57849 -0.922558  0.0630533 -0.154496  0.524204 -1.16978  -0.00327159 -0.180333  0.923579 -1.10727  -0.00238837 -0.179702  2.89696 -1.12758  -0.0628297 -0.150952  5.20667 -1.15406  -0.0616024 -0.151142  5.16901 -1.18141  
4.17832 0.0656445 -0.15967  2.58935 -0.916867  0.0619084 -0.153348  0.528189 -1.16673  -0.00319737 -0.178551  0.926309 -1.10225  -0.00232624 -0.177911  2.89953 -1.12324  -0.0617087 -0.149999  5.20501 -1.15032  -0.0604896 -0.15021  5.16619 -1.177  
4.24115 0.064321 -0.158641  2.60013 -0.911296  0.0607926 -0.152216  0.532223 -1.16355  -0.00312435 -0.176801  0.928938 -1.09729  -0.00226699 -0.176157  2.90206 -1.11882  -0.0606151 -0.14905  5.20338 -1.14652  -0.0594043 -0.149278  5.16347 -1.17258  
4.30398 0.0630278 -0.157613  2.61081 -0.905854  0.0597046 -0.1511  0.536303 -1.16028  -0.0030526 -0.175082  0.93147 -1.09241  -0.00221041 -0.174438  2.90455 -1.11433  -0.059548 -0.148104  5.2018 -1.14268  -0.0583457 -0.148349  5.16086 -1.16814  
4.36681 0.0617647 -0.156586  2.62138 -0.900545  0.0586435 -0.15  0.540428 -1.15692  -0.00298219 -0.173393  0.933911 -1.08761  -0.00215632 -0.172753  2.90699 -1.10978  -0.0585068 -0.147163  5.20027 -1.13881  -0.0573132 -0.147421  5.15835 -1.16371  
4.42965 0.0605313 -0.155561  2.63181 -0.895372  0.057608 -0.148915  0.544593 -1.15347  -0.00291317 -0.171733  0.936266 -1.08288  -0.00210454 -0.171101  2.90939 -1.10518  -0.0574908 -0.146226  5.19878 -1.13489  -0.056306 -0.146496  5.15596 -1.15927  
4.49248 0.0593273 -0.154538  2.64208 -0.890339  0.0565974 -0.147844  0.548797 -1.14996  -0.00284559 -0.170101  0.93854 -1.07824  -0.00205489 -0.169481  2.91175 -1.10053  -0.0564995 -0.145294  5.19734 -1.13093  -0.0553236 -0.145573  5.15368 -1.15484  
4.55531 0.0581521 -0.153516  2.65218 -0.885445  0.0556105 -0.146787  0.553035 -1.14639  -0.0027795 -0.168497  0.940737 -1.07367  -0.00200724 -0.167892  2.91406 -1.09584  -0.0555321 -0.144367  5.19596 -1.12694  -0.0543652 -0.144653  5.15152 -1.15042  
4.61814 0.0570055 -0.152495  2.6621 -0.880693  0.0546467 -0.145743  0.557306 -1.14278  -0.00271492 -0.16692  0.942861 -1.06917  -0.00196142 -0.166332  2.91633 -1.09111  -0.054588 -0.143445  5.19463 -1.12292  -0.0534303 -0.143736  5.14947 -1.14601  
4.68097 0.055887 -0.151477  2.67183 -0.87608  0.0537051 -0.144713  0.561605 -1.13913  -0.00265189 -0.16537  0.944919 -1.06476  -0.00191731 -0.164802  2.91856 -1.08634  -0.0536666 -0.142528  5.19336 -1.11886  -0.0525183 -0.142823  5.14754 -1.14162  
4.7438 0.0547961 -0.150461  2.68135 -0.871607  0.0527849 -0.143695  0.56593 -1.13544  -0.00259043 -0.163845  0.946912 -1.06041  -0.00187478 -0.163299  2.92074 -1.08155  -0.0527673 -0.141617  5.19214 -1.11476  -0.0516284 -0.141913  5.14573 -1.13723  
4.80664 0.0537324 -0.149448  2.69067 -0.867272  0.0518855 -0.142689  0.570278 -1.13174  -0.00253055 -0.162346  0.948846 -1.05614  -0.00183371 -0.161823  2.92287 -1.07673  -0.0518896 -0.140711  5.19098 -1.11064  -0.0507602 -0.141008  5.14403 -1.13287  
4.86947 0.0526953 -0.148438  2.69977 -0.86307  0.0510063 -0.141695  0.574644 -1.12803  -0.00247227 -0.160871  0.950725 -1.05194  -0.00179399 -0.160374  2.92496 -1.07189  -0.0510328 -0.139812  5.18988 -1.10648  -0.049913 -0.140107  5.14245 -1.12852  
4.9323 0.0516844 -0.147431  2.70865 -0.859  0.0501465 -0.140713  0.579025 -1.1243  -0.00241559 -0.159421  0.952551 -1.04781  -0.00175552 -0.158951  2.927 -1.06703  -0.0501963 -0.138919  5.18884 -1.10229  -0.0490863 -0.13921  5.14099 -1.1242  
4.99513 0.0506991 -0.146427  2.7173 -0.855057  0.0493057 -0.139743  0.583419 -1.12058  -0.0023605 -0.157994  0.954329 -1.04374  -0.00171821 -0.157552  2.929 -1.06216  -0.0493797 -0.138032  5.18786 -1.09807  -0.0482794 -0.138318  5.13963 -1.11989  
5.05796 0.0497389 -0.145428  2.72573 -0.851237  0.0484832 -0.138783  0.587821 -1.11686  -0.00230701 -0.15659  0.956062 -1.03973  -0.00168198 -0.156177  2.93095 -1.05727  -0.0485823 -0.137152  5.18693 -1.09382  -0.0474919 -0.137432  5.13839 -1.1156  
5.1208 0.0488034 -0.144433  2.73393 -0.847535  0.0476786 -0.137834  0.592229 -1.11315  -0.00225511 -0.155209  0.957752 -1.03578  -0.00164675 -0.154826  2.93285 -1.05238  -0.0478037 -0.136278  5.18606 -1.08954  -0.0467232 -0.13655  5.13725 -1.11133  
5.18363 0.0478918 -0.143442  2.7419 -0.843945  0.0468914 -0.136896  0.596639 -1.10946  -0.00220478 -0.153851  0.959404 -1.03189  -0.00161245 -0.153497  2.93471 -1.04747  -0.0470432 -0.13541  5.18525 -1.08523  -0.0459728 -0.135674  5.13621 -1.10708  
