3.6756634047 0.07736577207052 -0.1680190506793   0.07200461954763 -0.1630569289736   -0.003817343914599 -0.1937856259442   -0.00292245650646 -0.1933891361561   -0.0714996805984 -0.1576985466084   -0.07021882464173 -0.1576829669847   
3.738495257772 0.07578737613497 -0.1669567079005   0.0706135746365 -0.1617727426513   -0.003737259515455 -0.1917493582632   -0.002833825785651 -0.1912987063935   -0.07016763748515 -0.1567290163646   -0.06889407468966 -0.1567487951272   
3.801327110844 0.07424207427682 -0.1659020541565   0.0692631215554 -0.1605102916356   -0.003657707395969 -0.1897537164983   -0.002749731043178 -0.1892563390448   -0.06886804046444 -0.1557608586401   -0.06760186998916 -0.1558142019613   
3.864158963915 0.07272945137265 -0.164853660844   0.06795121696645 -0.159268744347   -0.003578794705663 -0.1877970767715   -0.002669909803678 -0.187260108503   -0.0676000964088 -0.1547944082802   -0.06634143296543 -0.1548793646873   
3.926990816987 0.07124913969101 -0.1638103239115   0.06667596929789 -0.1580473014025   -0.003500626860303 -0.1858779534887   -0.002594106186763 -0.1853081965066   -0.06636303271673 -0.1538299974011   -0.06511200304112 -0.1539444903726   
3.989822670059 0.06980080331945 -0.1627710458748   0.06543562685741 -0.1568451965822   -0.003423305912408 -0.1839949850164   -0.002522072124532 -0.1833988858036   -0.06515609499643 -0.1528679539895   -0.06391283476335 -0.153009811966   
4.052654523131 0.06838412536049 -0.1617350179073   0.06422856677237 -0.1556616973675   -0.003346929271531 -0.1821469206979   -0.002453568329388 -0.1815305541351   -0.06397854521115 -0.1519086005605   -0.06274319634518 -0.1520755843718   
4.115486376203 0.06699879751435 -0.1607016022662   0.06305328472598 -0.1544961051161   -0.003271588721161 -0.1803326091059   -0.002388365041792 -0.1797016685256   -0.06282966021935 -0.1509522528977   -0.06160236857082 -0.1511420806468   
4.178318229274 0.06564451181402 -0.1596703152543   0.0619083853834 -0.1533477549292   -0.003197369691187 -0.1785509874382   -0.002326242580585 -0.1779107798672   -0.06170873064369 -0.1499992188958   -0.06048964398908 -0.1502095883662   
4.241150082346 0.06432095408419 -0.1586408108723   0.06079257357786 -0.1522160152618   -0.003124350747976 -0.1768010719634   -0.002266991719563 -0.1761565177879   -0.06061506001376 -0.1490497975155   -0.05940432634957 -0.149278406194   
4.303981935418 0.06302779899606 -0.1576128652733   0.05970464612164 -0.1511002873203   -0.003052603266638 -0.1750819494302   -0.002210413912439 -0.1744375857949   -0.05954796413794 -0.148104277858   -0.05834573023516 -0.1483488406811   
4.36681378849 0.06176470644182 -0.1565863620968   0.05864348421641 -0.1500000042858   -0.002982191258441 -0.1733927693587   -0.00215632138848 -0.1727527566818   -0.05850677065688 -0.1471629383622   -0.05731318084562 -0.1474212033059   
4.429645641562 0.06053131899171 -0.1555612787332   0.05760804648346 -0.1489146303978   -0.002913171324399 -0.1717327371374   -0.002104537135497 -0.1711008681933   -0.05749081875072 -0.1462260461238   -0.05630601391131 -0.1464958077655   
4.492477494633 0.05932726031982 -0.1545376735426   0.05659736249432 -0.1478436599286   -0.002845592714015 -0.1701011078528   -0.002054894787989 -0.1694808189364   -0.05649945895884 -0.145293856334   -0.05532357569149 -0.1455729675198   
4.555309347705 0.05815213438184 -0.1535156740375   0.05561052684077 -0.1467866160725   -0.002779497472208 -0.1684971807861   -0.002007238439579 -0.1678915645303   -0.05553205310173 -0.1443666118328   -0.05436522305461 -0.1446529935851   
4.618141200777 0.05700552524459 -0.1524954660187   0.05464669365395 -0.1457430497752   -0.00271492065029 -0.1669202945149   -0.001961422386592 -0.1663321139846   -0.05458797426158 -0.1434445427713   -0.05343032359604 -0.143736192572   
4.680973053849 0.05588699743057 -0.1514772836451   0.05370507158129 -0.1447125385199   -0.002651890572497 -0.1653698225616   -0.001917310821636 -0.1648015262978   -0.05366660682299 -0.1425278663763   -0.05251825579895 -0.142822864958   
4.743804906921 0.05479609667673 -0.1504614004076   0.05278491915828 -0.1436946850888   -0.002590429144166 -0.1638451695358   -0.001874777486089 -0.1632989072656   -0.0527673465441 -0.1416167868094   -0.05162840920768 -0.1419133035845   
4.806636759992 0.05373235100765 -0.1494481209704   0.05188554058126 -0.1426891163132   -0.002530552187792 -0.1623457677231   -0.001833705289582 -0.1618234064901   -0.05188960065233 -0.1407114951126   -0.05076018461345 -0.141007792365   
4.869468613064 0.05269527207765 -0.1484377738375   0.0510062818086 -0.1416954818248   -0.002472269802026 -0.1608710740739   -0.001793985908155 -0.1603742145806   -0.05103278795195 -0.139812169233   -0.04991299423689 -0.1401066051923   
4.932300466136 0.05168435667335 -0.1474307047987   0.0501465270107 -0.1407134528173   -0.002415586731788 -0.1594205675519   -0.001755519364672 -0.1589505605353   -0.05019633893322 -0.1389189741187   -0.04908626190203 -0.1392100050297   
4.995132319208 0.05069908834603 -0.1464272711088   0.04930569531398 -0.1397427208283   -0.002360502746801 -0.1579937468052   -0.001718213602038 -0.1575517092965   -0.04937969587926 -0.1380320618769   -0.04827942319806 -0.1383182431732   
5.05796417228 0.04973893913134 -0.1454278363503   0.04848323782684 -0.1387829965463   -0.002307013019451 -0.1565901281255   -0.001681984049986 -0.1561769594681   -0.04858231296277 -0.1371515719884   -0.04749192562101 -0.1374315586694   
5.120796025351 0.04880337128993 -0.1444327659314   0.0476786349268 -0.1378340086502   -0.002255108500634 -0.1552092436638   -0.001646753194219 -0.1548256411876   -0.04780365632794 -0.1362776315706   -0.04672322869437 -0.136550177877   
5.183627878423 0.04789183907581 -0.1434424231708   0.04689139377976 -0.136895502685   -0.002204776288278 -0.1538506398753   -0.001612450149411 -0.1534971141434   -0.04704320415845 -0.1354103556812   -0.045972804068 -0.1356743141563   
5.246459731495 0.04700379046558 -0.1424571659226   0.04612104608647 -0.1359672399769   -0.002155999986641 -0.1525138761674   -0.001579010239925 -0.152190765729   -0.04630044672408 -0.1345498476582   -0.04524013558997 -0.1348041676757   
5.309291584567 0.04613866885481 -0.1414773436953   0.04536714603092 -0.1350489965905   -0.002108760051057 -0.1511985237277   -0.00154637458895 -0.1509060093246   -0.04557488640661 -0.1336961994887   -0.04452471935352 -0.1339399253221   
5.372123437639 0.04529591469933 -0.1405032952213   0.04462926840481 -0.1341405623302   -0.002063034122277 -0.1499041645109   -0.001514489722537 -0.1496422827003   -0.0448660377062 -0.1328494922018   -0.04382606371853 -0.1330817607032   
5.43495529071 0.04447496707391 -0.1395353464354   0.04390700691685 -0.1332417397868   -0.002018797344004 -0.1486303903666   -0.001483307186485 -0.1483990465315   -0.04417342722687 -0.1320097962798   -0.04314368931029 -0.1322298342317   
5.497787143782 0.04367526515561 -0.1385738088217   0.04319997264808 -0.1323523434297   -0.001976022663626 -0.1473768022894   -0.001452783177014 -0.1471757830188   -0.04349659363642 -0.1311771720848   -0.04247712898809 -0.13138429328   
5.560618996854 0.04289624962098 -0.1376189780943   0.04250779265553 -0.1314721987452   -0.001934681117642 -0.1461430097783   -0.001422878188808 -0.1459719946078   -0.04283508761031 -0.130351670294   -0.04182592779537 -0.1305452723971   
5.623450849926 0.04213736394731 -0.1366711331735   0.04183010869922 -0.1306011414205   -0.001894742099332 -0.1449286302899   -0.001393556679283 -0.1447872027989   -0.04218847175142 -0.129533332343   -0.04118964288389 -0.1297128935782   
5.686282702998 0.04139805561504 -0.1357305354282   0.04116657610114 -0.1297390165726   -0.0018561736096 -0.1437332887743   -0.00136478674955 -0.1436209470434   -0.0415563204937 -0.1287221908704   -0.04056784341991 -0.1288872665789   
5.749114556069 0.04067777721098 -0.1347974281523   0.04051686270405 -0.1288856780221   -0.00181894249125 -0.1425566172818   -0.00133653984267 -0.1424727837186   -0.04093821998417 -0.1279182701644   -0.03996011046653 -0.1280684892671   
5.811946409141 0.03997598744936 -0.1338720362485   0.03988064792879 -0.1280409876094   -0.001783014646677 -0.1413982546325   -0.001308790459531 -0.1413422851765   -0.04033376795274 -0.1271215866056   -0.03936603685292 -0.1272566480058   
5.874778262213 0.03929215207249 -0.1329545660933   0.03925762193217 -0.1272048145541   -0.001748355237851 -0.1402578461381   -0.00128151588972 -0.1402290388605   -0.03974257355986 -0.1263321491053   -0.03878522702075 -0.12645181806   
5.937610115285 0.03862574468355 -0.1320452055598   0.03864748483499 -0.1263770348539   -0.001714928873071 -0.1391350433697   -0.001254695961635 -0.1391326464863   -0.03916425723699 -0.1255499595379   -0.03821729686159 -0.1256540640234   
6.000441968357 0.03797624747067 -0.131144124177   0.03804994603418 -0.1255575307235   -0.001682699776089 -0.1380295039644   -0.001228312806496 -0.1380527232805   -0.03859845050859 -0.124775013164   -0.03766187353625 -0.1248634402589   
6.063273821428 0.03734315185234 -0.1302514734059   0.03746472357677 -0.1247461900706   -0.00165163194167 -0.1369408914644   -0.001202350638801 -0.136988897274   -0.03804479580372 -0.1240072990441   -0.03711859528237 -0.1240799913491   
6.1261056745 0.03672595903934 -0.1293673870151   0.03689154359895 -0.1239429060086   -0.001621689278167 -0.1358688751843   -0.001176795553068 -0.1359408086451   -0.03750294626033 -0.1232468004413   -0.03658711121471 -0.1233037525528   
6.188937527572 0.03612418051368 -0.1284919815389   0.03633013982176 -0.1231475764035   -0.001592835734485 -0.1348131301011   -0.00115163533274 -0.1349081091098   -0.03697256551581 -0.1224934952119   -0.03606708111149 -0.1225347502644   
6.251769380644 0.03553733844087 -0.127625356805   0.03578025309083 -0.1223601034526   -0.001565035417762 -0.1337733367633   -0.00112685927628 -0.1338904613539   -0.03645332749475 -0.1217473561837   -0.03555817519741 -0.1217730024718   
6.314601233715 0.03496496600319 -0.1267675965174   0.03524163097175 -0.121580393296   -0.001538252694881 -0.1327491812153   -0.00110245803212 -0.1328875385047   -0.03594491618411 -0.1210083515203   -0.03506007391428 -0.121018519212   
6.377433086787 0.03440660767753 -0.1259187688836   0.03471402737341 -0.1208083556563   -0.001512452287989 -0.1317403549345   -0.001078423451605 -0.1318990236403   -0.03544702540958 -0.1202764450718   -0.03457246769248 -0.120271303021   
6.440264939859 0.03386181944413 -0.125078927276   0.03419720222172 -0.1200439035068   -0.001487599355633 -0.1307465547783   -0.001054748449721 -0.1309246093305   -0.03495935860325 -0.119551596712   -0.03409505671413 -0.1195313493764   
6.503096792931 0.03333016894364 -0.1242481109181   0.03369092115675 -0.1192869527654   -0.001463659565376 -0.1297674829389   -0.001031426878526 -0.1299639972103   -0.0344816285679 -0.1188337626602   -0.03362755067249 -0.1187986471305   
6.565928646003 0.03281123558423 -0.1234263455873   0.03319495526395 -0.1185374220141   -0.001440599158051 -0.1288028469029   -0.00100845341183 -0.129016897581   -0.03401355724176 -0.1181228957894   -0.03316966853211 -0.1180731789337   
6.628760499074 0.03230461059497 -0.1226136443275   0.03270908083344 -0.117795232241   -0.001418385002778 -0.1278523594159   -0.0009858234392088 -0.1280830290379   -0.03355487545941 -0.11741894592   -0.03272113828541 -0.1173549216455   
6.691592352146 0.03180989704407 -0.1218100081655   0.03223307913669 -0.1170603066046   -0.001396984644583 -0.1269157384492   -0.0009635329697357 -0.127162118122   -0.03310532271239 -0.1167218600989   -0.03228169670853 -0.1166438467335   
